UF	SF	freq
fʌn	fʌn	105
hɔrs	hɔrs	104
nɛkst	nɛkst	104
tɑp	tɑp	104
pʌtɪŋ	pʌɾɪŋ	104
pɑrt	pɑrt	103
hɑp	hɑp	103
teɪst	teɪst	103
blɑk	blɑk	103
ɛləfənt	ɛləfənt	102
ir	ir	102
klæp	klæp	101
hoʊl	hoʊl	101
ʃeɪk	ʃeɪk	100
bʌbə	bʌbə	98
brɛkfəst	brɛkfəst	98
ɑrm	ɑrm	98
teɪl	teɪl	97
fʊl	fʊl	97
tɛdi	tɛdi	96
pɪɡ	pɪɡ	96
kaɪnd	kaɪnd	96
hɑrd	hɑrd	96
pɪktʃəɹ	pɪktʃəɹ	96
mɪrəɹ	mɪrəɹ	96
hɛvi	hɛvi	96
pɔl	pɔl	95
bæk	bæk	95
stɪŋki	stɪŋki	95
sɑft	sɑft	95
ril	ril	94
ʃʌt	ʃʌt	94
laɪks	lʌɪks	94
keɪk	keɪk	94
waɪt	wʌɪt	94
bʌbəlz	bʌbəlz	93
ɡeɪm	ɡeɪm	93
blæk	blæk	92
mʌðəɹ	mʌðəɹ	92
mɔrnɪŋ	mɔrnɪŋ	92
ɛɡz	ɛɡz	92
bu	bu	91
fɪks	fɪks	91
saʊnd	saʊnd	91
dʒi	dʒi	91
sɔ	sɔ	91
wəɹk	wəɹk	91
dʒʌmp	dʒʌmp	91
fɪnɪʃ	fɪnɪʃ	91
fʌzi	fʌzi	90
bloʊ	bloʊ	90
tʌŋ	tʌŋ	90
fɪt	fɪt	90
lɑt	lɑt	89
ɔlraɪt	ɔlrʌɪt	89
fəɹst	fəɹst	89
næp	næp	89
kʌt	kʌt	89
bəlun	bəlun	89
sɛkənd	sɛkənd	88
hævɪŋ	hævɪŋ	88
sʌn	sʌn	88
pɑt	pɑt	87
ænəməlz	ænəməlz	87
nɑk	nɑk	87
peɪpəɹ	peɪpəɹ	85
meɪks	meɪks	85
rɑk	rɑk	85
drɑpt	drɑpt	84
brʌʃ	brʌʃ	84
lɔŋ	lɔŋ	84
lɛɡz	lɛɡz	84
stʌk	stʌk	84
kɔl	kɔl	84
reɪn	reɪn	83
stɛrz	stɛrz	83
kætʃ	kætʃ	82
ɡræs	ɡræs	82
klaɪm	klaɪm	82
stɔri	stɔri	82
fæt	fæt	82
mɑrtʃ	mɑrtʃ	81
hʌɡ	hʌɡ	81
bi	bi	81
